env,coverage,sigma,policy,alpha,run,found,nominal_length,min_clearance,planner_cost,nodes,plan_time,realized_mean,realized_p95,realized_max,over_budget,hazard_rate
easy,0.08,0.01,cvar0.1,0.1,25,1,79.92285045773542,1.0938166962790081,80.50841310108252,1307,0.6576305199996568,80.25400769124178,81.70619869566364,84.87787151915748,0.0,0.3725
easy,0.08,0.01,cvar0.1,0.1,26,1,79.78359742859887,2.3599043258890258,80.20079629139528,1304,0.7397968220175244,79.95846418310234,81.0318254390598,84.41622518861705,0.0,0.2
easy,0.08,0.01,cvar0.1,0.1,27,1,79.45468266956743,0.3429964387504838,80.09312263731363,1322,0.7412785119959153,79.86105141382646,81.46271335473091,84.61018183027325,0.0,0.4375
easy,0.08,0.01,cvar0.1,0.1,28,1,79.47303502011188,4.0,79.73364099236952,1316,0.7111288330052048,79.5715967890666,80.15318968823482,84.61121665181572,0.0,0.13
easy,0.08,0.01,cvar0.1,0.1,29,1,81.91790781967217,1.163474803393986,82.5499781941219,1335,0.6608149090316147,82.30905778802006,83.74987700067918,91.86354297964702,0.0,0.4125
easy,0.08,0.01,cvar0.1,0.1,30,1,79.64238620105435,0.8267878171702843,80.5534996746444,1340,0.5859946830314584,80.26724032614557,82.37204132004169,87.22584002677732,0.0,0.535
easy,0.08,0.01,cvar0.1,0.1,31,1,80.27652693576186,0.20849221046353872,81.32736562417612,1331,0.6149056110298261,81.11288826663258,83.59333811050007,88.19822636633155,0.0,0.635
easy,0.08,0.01,cvar0.1,0.1,32,1,79.4302475495622,1.1094209629997196,80.07977332923359,1310,0.7026750030345283,79.86696390992722,81.80130627651516,83.73040604729277,0.0,0.4475
easy,0.08,0.01,cvar0.1,0.1,33,1,79.88415939415812,0.727137680246515,80.60879476816412,1292,0.7445428930222988,80.44983426220884,82.53816534103757,85.59406927114624,0.0,0.495
easy,0.08,0.01,cvar0.1,0.1,34,1,80.03355500293591,1.7128676705284822,80.39750807827174,1352,0.7521463650045916,80.26269804039714,81.51498786057414,86.27236496437936,0.0,0.235
easy,0.08,0.01,cvar0.1,0.1,35,1,79.3338189701062,0.9780761512115994,79.96970336040218,1331,0.6568084460450336,79.74024257484743,81.39155892944582,85.28080144008936,0.0,0.47
easy,0.08,0.01,cvar0.1,0.1,36,1,79.61343843810717,0.1261054773039172,80.4652555385197,1294,0.7007106909877621,80.14583822919604,81.86426959966283,83.7929160052533,0.0,0.5475
easy,0.08,0.01,cvar0.1,0.1,37,1,80.14322927774458,0.35130952492751044,80.91907716468097,1309,0.785052995022852,80.81509882189117,82.67287487225605,87.22142360387842,0.0,0.6125
easy,0.08,0.01,cvar0.1,0.1,38,1,80.5334475893469,0.07969943550734104,81.66791413324192,1271,0.6070567650021985,81.3794574555603,84.36501020842971,88.37819778110781,0.0,0.6125
easy,0.08,0.01,cvar0.1,0.1,39,1,80.02474411019014,0.054322931350240466,81.28948106469318,1263,0.563846367993392,81.05805116364235,83.49942895889974,88.82054830600502,0.0,0.755
easy,0.08,0.01,cvar0.1,0.1,40,1,80.83184799741875,0.22120572923939674,81.74064999855659,1334,1.0776018829783425,81.6107800291075,83.97525207457592,91.6675869821022,0.0,0.5525
