obstacle_density,max_slope_deg,friction_static,friction_dynamic,restitution,height_scale,rocks_per_m2,encounters_per_m,p_encounter,mean_free_path_m,progress_fraction,grade_mean_deg,grade_p90_deg,no_slip_margin,slip_share,relief,attitude,contestedness,traversability,RR.1,RR.2,RR.3,feasible,on_frontier
0.05,12.5,1.0,0.9,0.1,0.176271,0.014691,0.033055,0.448434,37.611737,0.794718,4.058731,9.898225,0.825504,0.0,0.202395,1.0,0.216943,0.794718,1,0,1,0,0
0.05,12.5,1.0,0.9,0.3,0.176271,0.014691,0.033055,0.448434,37.611737,0.794684,4.058731,9.898225,0.825504,0.0,0.202395,1.0,0.216943,0.794684,1,0,1,0,0
0.05,15.0,0.3,0.2,0.0,0.213048,0.014691,0.033055,0.448434,37.611737,0.794723,4.886207,11.909322,0.089097,0.027111,0.242113,0.998454,0.23922,0.771982,1,0,1,0,0
0.05,15.0,0.3,0.2,0.1,0.213048,0.014691,0.033055,0.448434,37.611737,0.794703,4.886207,11.909322,0.089097,0.027111,0.242113,0.998454,0.23922,0.771963,1,0,1,0,0
0.05,15.0,0.3,0.2,0.3,0.213048,0.014691,0.033055,0.448434,37.611737,0.794548,4.886207,11.909322,0.089097,0.027111,0.242113,0.998454,0.23922,0.771812,1,0,1,0,0
0.05,15.0,0.4,0.3,0.0,0.213048,0.014691,0.033055,0.448434,37.611737,0.794723,4.886207,11.909322,0.189097,0.001881,0.242113,0.998454,0.230809,0.792002,1,0,1,0,0
0.05,15.0,0.4,0.3,0.1,0.213048,0.014691,0.033055,0.448434,37.611737,0.79471,4.886207,11.909322,0.189097,0.001881,0.242113,0.998454,0.230809,0.791989,1,0,1,0,0
0.05,15.0,0.4,0.3,0.3,0.213048,0.014691,0.033055,0.448434,37.611737,0.794606,4.886207,11.909322,0.189097,0.001881,0.242113,0.998454,0.230809,0.791886,1,0,1,0,0
0.05,15.0,0.5,0.4,0.0,0.213048,0.014691,0.033055,0.448434,37.611737,0.794723,4.886207,11.909322,0.289097,0.0,0.242113,0.998454,0.230182,0.793494,1,0,1,0,0
0.05,15.0,0.5,0.4,0.1,0.213048,0.014691,0.033055,0.448434,37.611737,0.794713,4.886207,11.909322,0.289097,0.0,0.242113,0.998454,0.230182,0.793485,1,0,1,0,0
0.05,15.0,0.5,0.4,0.3,0.213048,0.014691,0.033055,0.448434,37.611737,0.794635,4.886207,11.909322,0.289097,0.0,0.242113,0.998454,0.230182,0.793407,1,0,1,0,0
0.05,15.0,0.6,0.5,0.0,0.213048,0.014691,0.033055,0.448434,37.611737,0.794723,4.886207,11.909322,0.389097,0.0,0.242113,0.998454,0.230182,0.793494,1,0,1,0,0
0.05,15.0,0.6,0.5,0.1,0.213048,0.014691,0.033055,0.448434,37.611737,0.794715,4.886207,11.909322,0.389097,0.0,0.242113,0.998454,0.230182,0.793487,1,0,1,0,0
0.05,15.0,0.6,0.5,0.3,0.213048,0.014691,0.033055,0.448434,37.611737,0.794653,4.886207,11.909322,0.389097,0.0,0.242113,0.998454,0.230182,0.793425,1,0,1,0,0
0.05,15.0,0.7,0.6,0.0,0.213048,0.014691,0.033055,0.448434,37.611737,0.794723,4.886207,11.909322,0.489097,0.0,0.242113,0.998454,0.230182,0.793494,1,0,1,0,0
0.05,15.0,0.7,0.6,0.1,0.213048,0.014691,0.033055,0.448434,37.611737,0.794716,4.886207,11.909322,0.489097,0.0,0.242113,0.998454,0.230182,0.793488,1,0,1,0,0
0.05,15.0,0.7,0.6,0.3,0.213048,0.014691,0.033055,0.448434,37.611737,0.794664,4.886207,11.909322,0.489097,0.0,0.242113,0.998454,0.230182,0.793436,1,0,1,0,0
0.05,15.0,0.8,0.7,0.0,0.213048,0.014691,0.033055,0.448434,37.611737,0.794723,4.886207,11.909322,0.589097,0.0,0.242113,0.998454,0.230182,0.793494,1,0,1,0,0
0.05,15.0,0.8,0.7,0.1,0.213048,0.014691,0.033055,0.448434,37.611737,0.794717,4.886207,11.909322,0.589097,0.0,0.242113,0.998454,0.230182,0.793489,1,0,1,0,0
0.05,15.0,0.8,0.7,0.3,0.213048,0.014691,0.033055,0.448434,37.611737,0.794673,4.886207,11.909322,0.589097,0.0,0.242113,0.998454,0.230182,0.793445,1,0,1,0,0
0.05,15.0,0.9,0.8,0.0,0.213048,0.014691,0.033055,0.448434,37.611737,0.794723,4.886207,11.909322,0.689097,0.0,0.242113,0.998454,0.230182,0.793494,1,0,1,0,0
0.05,15.0,0.9,0.8,0.1,0.213048,0.014691,0.033055,0.448434,37.611737,0.794718,4.886207,11.909322,0.689097,0.0,0.242113,0.998454,0.230182,0.79349,1,0,1,0,0
0.05,15.0,0.9,0.8,0.3,0.213048,0.014691,0.033055,0.448434,37.611737,0.794679,4.886207,11.909322,0.689097,0.0,0.242113,0.998454,0.230182,0.793451,1,0,1,0,0
0.05,15.0,1.0,0.9,0.0,0.213048,0.014691,0.033055,0.448434,37.611737,0.794723,4.886207,11.909322,0.789097,0.0,0.242113,0.998454,0.230182,0.793494,1,0,1,0,0
0.05,15.0,1.0,0.9,0.1,0.213048,0.014691,0.033055,0.448434,37.611737,0.794718,4.886207,11.909322,0.789097,0.0,0.242113,0.998454,0.230182,0.79349,1,0,1,0,0
0.05,15.0,1.0,0.9,0.3,0.213048,0.014691,0.033055,0.448434,37.611737,0.794684,4.886207,11.909322,0.789097,0.0,0.242113,0.998454,0.230182,0.793456,1,0,1,0,0
0.05,17.5,0.3,0.2,0.0,0.250696,0.014691,0.033055,0.448434,37.611737,0.794723,5.722859,13.937619,0.051828,0.0513,0.279733,0.994354,0.259823,0.749696,1,0,1,0,0
0.05,17.5,0.3,0.2,0.1,0.250696,0.014691,0.033055,0.448434,37.611737,0.794703,5.722859,13.937619,0.051828,0.0513,0.279733,0.994354,0.259823,0.749678,1,0,1,0,0
0.05,17.5,0.3,0.2,0.3,0.250696,0.014691,0.033055,0.448434,37.611737,0.794548,5.722859,13.937619,0.051828,0.0513,0.279733,0.994354,0.259823,0.749531,1,0,1,0,0
0.05,17.5,0.4,0.3,0.0,0.250696,0.014691,0.033055,0.448434,37.611737,0.794723,5.722859,13.937619,0.151828,0.01211,0.279733,0.994354,0.246759,0.780666,1,0,1,0,0
0.05,17.5,0.4,0.3,0.1,0.250696,0.014691,0.033055,0.448434,37.611737,0.79471,5.722859,13.937619,0.151828,0.01211,0.279733,0.994354,0.246759,0.780653,1,0,1,0,0
0.05,17.5,0.4,0.3,0.3,0.250696,0.014691,0.033055,0.448434,37.611737,0.794606,5.722859,13.937619,0.151828,0.01211,0.279733,0.994354,0.246759,0.780552,1,0,1,0,0
0.05,17.5,0.5,0.4,0.0,0.250696,0.014691,0.033055,0.448434,37.611737,0.794723,5.722859,13.937619,0.251828,0.000371,0.279733,0.994354,0.242846,0.789942,1,0,1,0,0
0.05,17.5,0.5,0.4,0.1,0.250696,0.014691,0.033055,0.448434,37.611737,0.794713,5.722859,13.937619,0.251828,0.000371,0.279733,0.994354,0.242846,0.789933,1,0,1,0,0
0.05,17.5,0.5,0.4,0.3,0.250696,0.014691,0.033055,0.448434,37.611737,0.794635,5.722859,13.937619,0.251828,0.000371,0.279733,0.994354,0.242846,0.789856,1,0,1,0,0
0.05,17.5,0.6,0.5,0.0,0.250696,0.014691,0.033055,0.448434,37.611737,0.794723,5.722859,13.937619,0.351828,0.0,0.279733,0.994354,0.242722,0.790235,1,0,1,0,0
0.05,17.5,0.6,0.5,0.1,0.250696,0.014691,0.033055,0.448434,37.611737,0.794715,5.722859,13.937619,0.351828,0.0,0.279733,0.994354,0.242722,0.790228,1,0,1,0,0
0.05,17.5,0.6,0.5,0.3,0.250696,0.014691,0.033055,0.448434,37.611737,0.794653,5.722859,13.937619,0.351828,0.0,0.279733,0.994354,0.242722,0.790166,1,0,1,0,0
0.05,17.5,0.7,0.6,0.0,0.250696,0.014691,0.033055,0.448434,37.611737,0.794723,5.722859,13.937619,0.451828,0.0,0.279733,0.994354,0.242722,0.790235,1,0,1,0,0
0.05,17.5,0.7,0.6,0.1,0.250696,0.014691,0.033055,0.448434,37.611737,0.794716,5.722859,13.937619,0.451828,0.0,0.279733,0.994354,0.242722,0.790229,1,0,1,0,0
