episode,step,object,robot_x,robot_y,range,true_xmin,true_ymin,true_xmax,true_ymax,det_xmin,det_ymin,det_xmax,det_ymax
85.0000,0.0000,4.0000,1.2500,1.2500,9.8117,9.2583,3.9729,11.0512,6.7673,9.4301,4.0009,11.1586,6.6165
86.0000,0.0000,0.0000,1.2500,1.2500,4.9431,4.0779,3.5370,5.4884,5.8771,3.9256,3.5901,5.3118,5.8190
86.0000,0.0000,2.0000,1.2500,1.2500,6.3240,4.7446,4.2605,7.9110,5.7785,4.8040,4.0937,7.8548,5.5461
87.0000,0.0000,4.0000,1.2500,1.2500,9.6298,8.8743,2.9289,11.9302,5.5607,9.0620,3.0010,11.9090,5.4611
87.0000,0.0000,5.0000,1.2500,1.2500,8.4519,4.9372,7.6650,6.9178,8.9142,4.8243,7.8350,6.7588,9.0726
88.0000,0.0000,2.0000,1.2500,1.2500,7.9503,1.9964,7.8960,4.4504,10.0070,1.8452,8.0027,4.2328,9.9510
88.0000,0.0000,3.0000,1.2500,1.2500,9.5572,9.3433,3.2798,11.2217,5.4667,9.3571,3.5438,11.0890,5.5770
88.0000,0.0000,5.0000,1.2500,1.2500,9.0301,4.3516,8.0436,7.1464,10.1155,4.3460,8.0547,6.9910,10.0129
0.0000,4.0000,4.0000,3.2500,3.2500,8.6751,9.7357,5.7185,12.5199,8.0473,9.7109,5.7100,12.3400,7.9312
2.0000,4.0000,2.0000,3.2500,3.2500,9.3809,6.4288,10.1612,9.1019,12.7842,6.3192,10.3381,8.9369,12.8046
2.0000,4.0000,5.0000,3.2500,3.2500,2.9234,4.6377,2.0867,7.7068,4.2490,4.7082,2.1027,7.6238,4.1370
3.0000,4.0000,0.0000,3.2500,3.2500,8.2764,10.4862,4.1595,11.8320,7.2169,10.5733,4.2434,11.8093,7.1037
3.0000,4.0000,2.0000,3.2500,3.2500,8.8038,2.4807,10.9937,3.8477,13.1130,2.4538,11.0599,3.7512,13.0427
3.0000,4.0000,3.0000,3.2500,3.2500,3.6167,4.2623,5.7348,5.7536,7.0867,4.3873,5.8951,5.8232,7.2011
3.0000,4.0000,4.0000,3.2500,3.2500,5.4480,4.0386,6.9928,5.6777,9.9177,4.2230,7.1615,5.7355,9.9215
4.0000,4.0000,0.0000,3.2500,3.2500,6.2074,6.8566,5.9195,9.2235,8.4766,7.4163,6.8630,8.5305,7.9054
4.0000,4.0000,2.0000,3.2500,3.2500,7.5333,9.3081,2.5954,12.2237,4.9281,10.0545,3.2792,11.3185,4.3626
4.0000,4.0000,3.0000,3.2500,3.2500,8.8157,5.6083,10.3862,8.4752,12.0309,5.8207,10.5288,8.5637,12.1553
4.0000,4.0000,4.0000,3.2500,3.2500,9.2181,8.2975,9.1663,10.7027,10.8850,8.2275,9.0664,10.4568,10.6747
4.0000,4.0000,5.0000,3.2500,3.2500,9.3577,9.3608,8.5998,11.2070,10.2438,9.3400,8.7626,11.0948,10.3720
5.0000,4.0000,0.0000,3.2500,2.7500,3.2289,3.3967,4.5420,5.4821,6.9617,3.4925,4.6158,5.4891,6.8801
5.0000,4.0000,1.0000,3.2500,2.7500,2.0662,3.5669,3.2394,6.3642,4.5635,3.6511,3.2746,6.2126,4.5328
6.0000,4.0000,0.0000,3.2500,3.2500,8.6099,9.4785,6.2308,11.6921,9.2855,9.5571,6.4158,11.6626,9.3070
6.0000,4.0000,2.0000,3.2500,3.2500,6.9439,5.5622,8.5557,7.7343,10.0554,5.6513,8.4433,7.7361,9.9007
6.0000,4.0000,5.0000,3.2500,3.2500,6.3716,5.0485,7.5963,7.3856,10.1810,5.0841,7.7623,7.3427,10.2712
